gen,best,avg,median,worst,feasible_count,hard_feasible_count,soft_penalty_count,A_count,B_count,C_count,individuals_with_B,individuals_with_C,individuals_all_A,b_success,b_infeasible,b_repaired,c_success,c_infeasible,c_repaired,best_A_count,best_B_count,best_C_count,truck_distance,uav_distance,energy,plan_completion_time,air_ground_reward,penalty,elapsed,avg_B_candidate_score,b_candidate_accepted_count,b_decoded_success_count,b_failure_reasons,b_gene_count_in_population,b_individual_count,best_B_candidate_score,c_candidate_accepted_count,c_decoded_success_count,c_failure_reasons,c_gene_count_in_population,closure_route_cost,delay_cost,drone_reuse_penalty,early_stop_reason,early_stop_triggered,energy_cost,final_return_penalty,future_objective,future_route_proximity_reward,future_station_coverage_reward,future_terminal_penalty,infeasible_penalty,last_improvement_gen,min_fitness,mutation_b_added,mutation_b_removed,no_improvement_count,orders_where_B_feasible,population_size,raw_truck_distance,raw_uav_distance,repair_penalty,residual_cost,seconds_per_generation,station_queue_penalty,time_cost,total_fitness,truck_distance_cost,uav_distance_cost,unserved_penalty,waiting_cost
0,246148.11033551328,1108663.6540843653,1177228.452592967,2260041.7804757454,45,45,75,2592,610,638,85,59,18,426,184,0,257,381,188,31,1,0,96484.29370961315,2672.5059218186952,1447.3713565772728,8381.202671112453,400.0,0,637.4304819107056,3045.0217551560527,426,426,"{'payload_exceed': 180, 'energy_not_enough': 4}",610,85,-364.10616678407143,257,257,"{'drone_not_at_independent_node': 252, 'payload_exceed': 129}",638,0.0,242496.25005822448,0.0,,False,1447.3713565772728,0.0,-1590.7793769542209,721.8176656072894,900.0,31.038288653068644,0.0,0,246148.11033551328,0,0,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,96484.29370961315,2672.5059218186952,0.0,-5.820766091346741e-11,0.0,0.0,4190.601335556226,246148.11033551328,0.0,0.0,0.0,4.666962109567294
1,148867.23038275383,697502.6918987477,617383.495923757,1861311.032855933,13,13,107,2895,485,460,110,99,3,329,156,0,238,222,194,28,1,3,86886.01813608166,17750.118171022965,1304.643366103934,7782.587591492652,400.0,2001.0,729.4074156284332,4263.713666900524,329,329,{'payload_exceed': 156},485,110,-362.2440546937193,238,238,"{'payload_exceed': 123, 'drone_not_at_independent_node': 99}",460,0.0,143512.25830777708,0.0,,False,1304.643366103934,0.0,-1561.4889543089835,697.3560738409507,900.0,35.867119531967234,0.0,1,148867.23038275383,171,23,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,86886.01813608166,17750.118171022965,2000.0,-2.9103830456733704e-11,91.97492623329163,1.0,3891.293795746326,148867.23038275383,0.0,0.0,0.0,119.52386743549368
2,126730.01875219792,459504.31813305937,388183.06800874905,1372423.3897584558,3,3,117,3007,493,340,115,107,0,345,148,0,198,142,163,24,6,2,89960.06945565974,26668.829247823538,1351.6205296864505,8445.216921864409,2400.0,4401.0,809.225204706192,849.6243446195372,345,345,{'payload_exceed': 148},493,115,-362.2440546937193,198,198,"{'payload_exceed': 98, 'drone_not_at_independent_node': 44}",340,0.0,120461.50539720453,2400.0,,False,1351.6205296864505,0.0,-1667.9617055414328,784.6822461055176,900.0,16.72054056408464,0.0,2,126730.01875219792,352,54,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,89960.06945565974,26668.829247823538,2000.0,-1.4551915228366852e-11,79.81879186630249,1.0,4222.608460932204,126730.01875219792,0.0,0.0,0.0,361.24606991618805
3,119734.55759583131,366723.50575505913,354330.4419691389,805539.0561671018,1,1,119,2983,488,369,117,114,0,380,108,0,232,137,196,24,4,4,74006.94658307904,27306.117047820713,1111.9979878193155,6827.084228567019,1200.0,103201.0,885.5489366054535,1623.4992400012168,380,380,{'payload_exceed': 108},488,117,-362.2440546937193,232,232,"{'payload_exceed': 87, 'drone_not_at_independent_node': 50}",369,0.0,14648.267187821148,1200.0,,False,1111.9979878193155,0.0,-1635.4376655127544,768.5166407186528,900.0,33.07897520589851,100000.0,3,119734.55759583131,514,82,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,74006.94658307904,27306.117047820713,2000.0,1.4551915228366852e-11,76.32373976707458,1.0,3413.5421142835094,119734.55759583131,0.0,0.0,0.0,195.18797142008304
4,106659.00312891179,363753.1205358989,364589.8068456293,754216.0722336323,1,1,119,2850,543,447,120,119,0,428,115,0,286,161,220,24,3,5,82261.04913859615,20142.324570923804,1235.3938461895925,7087.773010661242,800.0,104202.0,936.7046692371368,369.58003080337664,428,428,{'payload_exceed': 115},543,120,-362.2440546937193,286,286,"{'payload_exceed': 89, 'drone_not_at_independent_node': 72}",447,0.0,0.0,1200.0,,False,1235.3938461895925,0.0,-1540.4370750659173,673.5160502718159,900.0,33.07897520589851,100000.0,4,106659.00312891179,666,121,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09']",120,82261.04913859615,20142.324570923804,3000.0,1.4551915228366852e-11,51.15473175048828,2.0,3543.886505330621,106659.00312891179,0.0,0.0,0.0,18.159852457495617
5,35357.04515593442,333497.2506456778,328313.5948712474,829216.7565570052,1,1,119,2773,585,482,120,118,0,451,134,0,334,148,246,24,3,5,84483.21233323753,30678.521742596244,1269.510896169314,7417.334789244133,1200.0,3002.0,1013.2078256607056,136.5080392310236,451,451,{'payload_exceed': 134},585,120,-362.2440546937193,334,334,"{'drone_not_at_independent_node': 73, 'payload_exceed': 75}",482,0.0,30057.10590092778,0.0,,False,1269.510896169314,0.0,-1568.8331021398792,710.6736408352998,900.0,41.84053869542058,0.0,5,35357.04515593442,824,159,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,84483.21233323753,30678.521742596244,3000.0,1.4551915228366852e-11,76.50037288665771,2.0,3708.6673946220667,35357.04515593442,0.0,0.0,0.0,88.59406635513164
6,35357.04515593442,339687.18683036877,307459.60535864986,921032.1240735427,0,0,120,2712,554,574,118,119,0,425,129,0,391,183,287,24,3,5,84483.21233323753,30678.521742596244,1269.510896169314,7417.334789244133,1200.0,3002.0,1078.089477777481,-310.5925583289241,425,425,{'payload_exceed': 129},554,118,-362.7407364148463,391,391,"{'drone_not_at_independent_node': 108, 'payload_exceed': 75}",574,0.0,30057.10590092778,0.0,,False,1269.510896169314,0.0,-1568.8331021398792,710.6736408352998,900.0,41.84053869542058,0.0,5,35357.04515593442,966,213,1,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,84483.21233323753,30678.521742596244,3000.0,1.4551915228366852e-11,64.88393068313599,2.0,3708.6673946220667,35357.04515593442,0.0,0.0,0.0,88.59406635513164
7,35357.04515593442,331981.1493873676,320802.38512343186,739561.7404553716,0,0,120,2687,604,549,120,120,0,462,142,0,391,158,284,24,3,5,84483.21233323753,30678.521742596244,1269.510896169314,7417.334789244133,1200.0,3002.0,1138.6341953277588,-306.79564080680433,462,462,{'payload_exceed': 142},604,120,-362.2440546937193,391,391,"{'drone_not_at_independent_node': 98, 'payload_exceed': 60}",549,0.0,30057.10590092778,0.0,,False,1269.510896169314,0.0,-1568.8331021398792,710.6736408352998,900.0,41.84053869542058,0.0,5,35357.04515593442,1127,256,2,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,84483.21233323753,30678.521742596244,3000.0,1.4551915228366852e-11,60.54406142234802,2.0,3708.6673946220667,35357.04515593442,0.0,0.0,0.0,88.59406635513164
8,9209.196959453531,337588.8265221399,324735.40866495064,848632.2847003862,0,0,120,2585,687,568,120,120,0,551,136,0,399,169,306,20,9,3,96085.67695712823,52052.74028543565,1447.082274695781,9036.47772232457,3600.0,8001.0,1198.6069166660309,-319.5088459885119,551,551,{'payload_exceed': 136},687,120,-362.2440546937193,399,399,"{'drone_not_at_independent_node': 97, 'payload_exceed': 72}",568,0.0,0.0,6000.0,,False,1447.082274695781,0.0,-1596.7240562336606,733.1450704588162,900.0,36.42101422515557,0.0,8,9209.196959453531,1297,301,0,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,96085.67695712823,52052.74028543565,2000.0,0.0,59.96532988548279,1.0,4518.238861162285,9209.196959453531,0.0,0.0,0.0,439.59987982912673
9,9209.196959453531,306559.8191070722,316823.7360192187,579490.6613729747,0,0,120,2547,707,586,120,120,0,595,112,0,417,169,321,20,9,3,96085.67695712823,52052.74028543565,1447.082274695781,9036.47772232457,3600.0,8001.0,1258.0517995357513,-317.56858269221146,595,595,{'payload_exceed': 112},707,120,-362.2440546937193,417,417,"{'drone_not_at_independent_node': 101, 'payload_exceed': 68}",586,0.0,0.0,6000.0,,False,1447.082274695781,0.0,-1596.7240562336606,733.1450704588162,900.0,36.42101422515557,0.0,8,9209.196959453531,1450,365,1,"['ORD-115929A7-3', 'ORD-1A933420-16', 'ORD-2E93EB29-10', 'ORD-43D9FCA0-4', 'ORD-5AD8F1CB-6', 'ORD-5C566AAE-19', 'ORD-60247FE4-11', 'ORD-8B103C37-9', 'ORD-98C051FD-7', 'ORD-9BD1F880-12', 'ORD-B030DF3D-5', 'ORD-B52013F1-17', 'ORD-C3700E18-2', 'ORD-CA4C84B1-8', 'ORD-D08A32AB-1', 'ORD-E484F83F-20', 'ORD-EA3CAACA-13', 'ORD-EA5DEA56-15', 'ORD-F18196A7-14', 'ORD-F923F8F8-18', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",120,96085.67695712823,52052.74028543565,2000.0,0.0,59.44216060638428,1.0,4518.238861162285,9209.196959453531,0.0,0.0,0.0,439.59987982912673
